title,date,views,likes,comments,team_score,opponent_score
VAR-SENAL AND PEPE THE GIFT KEEPS ON GIVING! Burnley 1 vs Arsenal 1 -Spurs vs CRYSTAL PALACE PREVIEW,2021-03-06,33285,1902,235,,
3 POINT ROBBERY WE MAY SEE MOURINHO IN GRAND THEFT AUTO 6😳! Fulham (0) vs Tottenham (1) EXPRESSIONS,2021-03-04,49098,2939,303,,
Fulham (0) vs Tottenham (1) LIVE With EXPRESSIONS OOZING,2021-03-04,48241,2928,43,,
WE WANT TO SEE FOOTBALL NOT TWO GUYS ARGUING OVER A PARKING SPACE! Fulham vs Tottenham| EXPRESSIONS,2021-03-03,23599,1507,186,,
GARETH UNVEILED BURNLEY HOLD A GEORGE FOUR-MAN SPECIAL| Tottenham 4 vs Burnley 0 EXPRESSIONS REACTS,2021-02-28,47112,3748,255,,
GARETH WALES ARRIVES!!! Tottenham (4) vs Burnley (0) LIVE WITH EXPRESSIONS OOZING,2021-02-28,68743,3577,85,,
WE BETTER WIN AGAINST GRANT MITCHELL FC OR WE ARE IN TROUBLE!| OOZING PICKS| Tottenham vs Burnley,2021-02-26,24509,1434,188,,
THE EUROPA LEAGUE IS ALL WE GOT LEFT! Tottenham (4) vs Wolfsberger AC (0) EXPRESSIONS REACTS,2021-02-24,45333,2416,260,,
Tottenham vs Wolfsberger AC LIVE WITH EXPRESSIONS OOZING @Rants N Bants,2021-02-24,62679,3143,50,,
"NO DEFENCE, EVERY TIME A TEAM ATTACKS US I GRAB MY BIBLE! West Ham (2) vs Tottenham (1) EXPRESSIONS",2021-02-21,140524,6398,925,,
OUR DEFENCE IS ABYSMAL! West Ham (2) vs Tottenham (1) LIVE WITH EXPRESSIONS OOZING,2021-02-21,146130,7305,231,,
"WHO WILL CATCH AN L THIS WEEK? ENERGY, ENERGY, ENERGY EP8 FT @James Redmond TV @United-Central",2021-02-19,32388,2055,62,,
Wolfsberger AC Vs Tottenham LIVE WITH EXPRESSIONS OOZING,2021-02-18,55033,2402,61,,
DEFENDERS OR COMEDIANS AT THE BACK? SHOCKING😳 CAN SPURS WIN THE EUROPA LEAGUE? EXPRESSIONS REACTS,2021-02-17,43450,2575,366,,
TOUCHED UP BEFORE VALENTINES DAY AND ITS EMBARRASSING 🤬| MAN CITY (3) VS TOTTENHAM (0) EXPRESSIONS,2021-02-13,162835,7272,961,,
I KNEW IT!!! We got folded like a scooter! |Man City vs Tottenham LIVE with EXPRESSIONS OOZING,2021-02-13,183512,7265,329,,
"SPURS CRASH OUT OF FA CUP, UNITED WIN ,ENERGY, ENERGY ENERGY EP 7 @James Redmond TV @United-Central",2021-02-12,36636,1957,55,,
"9 GOAL ROLLERCOASTER, AND SPURS OUT OF FA CUP🤬Everton (5) vs Tottenham (4) EXPRESSIONS HIGHLIGHTS",2021-02-11,52860,2473,294,,
OUT OF THE FA CUP GET RID OF THE WHOLE DEFENCE AND MORE 🤬  Everton (5) vs Tottenham (4) EXPRESSIONS,2021-02-10,171022,7044,1450,,
OUT OF THE FA CUP HERE WE GO!!! Everton (5) vs Tottenham Hotspur (4) LIVE WITH EXPRESSIONS OOZING,2021-02-10,205466,7149,360,,
HARRY CLASS A RETURNS TO TORMENT BIG SAM ALIZÉ |Tottenham (2) vs West Brom (0) EXPRESSIONS REACTS,2021-02-07,43126,3018,306,,
Tottenham vs West Brom 2-0 LIVE WITH EXPRESSIONS OOZING,2021-02-07,97734,4518,81,0.0,2.0
