title,date,views,likes,comments
TEN HAG's TOP 2 TRANSFER TARGETS! Man Utd News,2022-04-13T14:09:50Z,172348,5466,418
TEN HAG OFFICIAL This Week? NKUNKU TALKS! Man Utd News,2022-04-13T09:48:51Z,161495,5212,314
TEN HAG DEAL AGREED! Man Utd News,2022-04-12T19:00:03Z,160295,3863,221
TEN HAG'S BIG CLEAR OUT! Man Utd News,2022-04-12T13:50:55Z,177315,5246,557
TEN HAG Decision Time! NEVES Transfer Target! Man Utd News,2022-04-12T09:49:46Z,149928,4892,334
Ronaldo Stays! Ten Hag Shopping List! Man Utd News,2022-04-11T20:28:51Z,133886,3385,311
ERIK TEN HAG Deal Close? FABRIZIO ROMANO Man Utd News,2022-04-11T14:28:51Z,147446,4748,236
NUNEZ Transfer Decision CLOSE! TEN HAG Deal IMMINENT! Man Utd News,2022-04-11T09:44:12Z,203331,6037,424
Ten Hag NEW Job Offer! Man Utd News,2022-04-10T20:09:42Z,142405,3338,240
TEN HAG United WARNING! RONALDO On The MOVE? Man Utd News,2022-04-10T10:40:56Z,200655,5523,654
DISGRACEFUL UNITED! RONALDO In TROUBLE? Man Utd News,2022-04-09T20:00:20Z,205113,5518,648
RANGNICK & PLAYERS PATHETIC! Everton 1-0 Manchester United | RYAN'S FAN VLOG,2022-04-09T15:30:01Z,22935,349,175
WAN-BISSAKA WAS SO POOR! Everton 1-0 Manchester United | GRAHAM'S FAN VLOG,2022-04-09T15:15:00Z,23978,385,115
DISRESPECTING THE BADGE! Everton 1-0 Manchester United | LIVE Fan's Forum,2022-04-09T15:11:24Z,132393,2577,348
TEN HAG PLEASE HURRY UP! Everton 1-0 Manchester United | ADAM'S FAN VLOG,2022-04-09T14:45:00Z,54724,1299,286
GOLDBRIDGE! EVERTON 1-0 MANCHESTER UNITED Match Reaction,2022-04-09T14:07:25Z,396331,10507,1105
EVERTON vs MANCHESTER UNITED LIVE GOLDBRIDGE Watchalong!,2022-04-09T13:44:19Z,559722,10137,425
MAN UNITED LAST CHANCE SALOON! Everton vs Manchester United | Adam’s Road Trip,2022-04-09T07:00:09Z,27731,971,125
TEN HAG's UNITED WARNING! Man Utd News,2022-04-08T20:10:35Z,166136,5197,306
RANGNICK PRESS CONFERENCE REACTION! EVERTON vs MANCHESTER UNITED,2022-04-08T13:31:24Z,78260,2707,140
TEN HAG's TRANSFER LIST Man Utd News,2022-04-08T10:02:58Z,155219,5372,449
Ten Hag's Starting Eleven! Man Utd News,2022-04-07T20:13:38Z,144593,3455,234
EVERTON vs MAN UTD! TEN HAG Watching! RONALDO Returns!,2022-04-07T14:08:55Z,149221,4926,303
TEN HAG's 200 Million Transfer Budget! Man Utd News,2022-04-07T09:46:32Z,205021,6202,565
TEN HAG DEAL DONE! Man Utd News,2022-04-06T18:54:06Z,350459,13804,803
UNITED Target NEW CDM! ANTI TEN HAG SPIN Continues! Man Utd News,2022-04-06T14:07:30Z,116891,3386,237
RANGNICK JOB OFFER! POCH Impressed UNITED! Man Utd News,2022-04-06T09:56:56Z,141887,4324,410
UNITED Ask EX PLAYERS For TEN HAG Thoughts! Man Utd News,2022-04-05T18:47:38Z,129366,3685,335
POGBA To PSG! BRUNO vs POGBA Head to Head!,2022-04-05T13:00:56Z,60185,2169,400
TEN HAG Faces LATE POCH Manager Race! Man Utd News,2022-04-05T09:53:39Z,142961,4227,543
Ten Hag Deal Close! Man Utd News,2022-04-04T19:07:35Z,117384,2866,195
Players TURN On RANGNICK Again! Man Utd News,2022-04-04T14:17:42Z,174486,5974,681
RANGNICK Demands TEN HAG Appointment! Man Utd News,2022-04-04T10:01:31Z,136648,4314,316
RANGNICK On His Way Out? TEN HAG Latest! Man Utd News,2022-04-03T20:15:45Z,152292,3868,433
TEN HAG BIG Transfer Plans! Man Utd News,2022-04-03T10:35:18Z,176367,5569,639
RANGNICK TACTICS IGNORED! Manchester United 1-1 Leicester City | MARK'S FAN VLOG,2022-04-02T21:00:08Z,19155,365,115
END UNITED'S SEASON NOW! Manchester United 1-1 Leicester City | LANDAN'S FAN VLOG,2022-04-02T20:45:01Z,13271,234,32
UNITED'S SEASON FINISHED! Manchester United 1-1 Leicester City | JAMEEL'S FAN VLOG,2022-04-02T20:30:02Z,8342,207,25
UNITED STANDARDS IN THE MUD! Manchester United 1-1 Leicester City | GRAHAM'S FAN VLOG,2022-04-02T20:15:00Z,9855,207,29
SEASON IS DUSTED! Manchester United 1-1 Leicester City | LIVE Fan's Forum,2022-04-02T20:08:12Z,103574,2211,246
RASHFORD LOOKS LOST! Manchester United 1-1 Leicester City | BETH'S FAN VLOG,2022-04-02T20:00:04Z,32342,667,122
WON'T MAKE CONFERENCE LEAGUE! Manchester United 1-1 Leicester City | ADAM'S FAN VLOG,2022-04-02T19:45:00Z,36431,787,172
GOLDBRIDGE! MANCHESTER UNITED 1-1 LEICESTER Match Reaction,2022-04-02T19:15:25Z,311556,7883,926
MANCHESTER UNITED vs LEICESTER LIVE GOLDBRIDGE Watchalong!,2022-04-02T18:45:08Z,451695,7423,231
MAN UNITED RESURGENCE! Manchester United vs Leicester City | Adam’s Road Trip,2022-04-02T09:00:04Z,45708,1427,177
TEN HAG Reveals UNITED Interest! Man Utd News,2022-04-01T20:10:42Z,142589,4173,201
RANGNICK PRESS CONFERENCE REACTION! MANCHESTER UNITED vs LEICESTER CITY,2022-04-01T13:23:18Z,71493,2002,149
TEN HAG NO 1 Choice! PSG Offer POCH for FREE! Man Utd News,2022-04-01T10:00:46Z,144758,4340,427
United Interview Poch! Ten Hag Still Favourite! Man Utd News,2022-03-31T20:11:02Z,84004,2091,212
MAN UTD vs LEICESTER! RANGNICK To DROP Stars,2022-03-31T13:01:08Z,115286,3603,247
UNITED BID for Declan RICE! TEN HAG Latest! Man Utd News,2022-03-31T09:53:14Z,139906,4120,381
UNITED Agree TEN HAG Exit Fee? Man Utd News,2022-03-30T20:11:26Z,208839,5941,366
POCH Job Fear! NUNEZ Transfer Blow! Man Utd News,2022-03-30T14:13:22Z,102536,3084,303
POCH New FAVOURITE! MAGUIRE Booed! Man Utd News,2022-03-30T10:33:23Z,109820,3153,268
Poch vs Ten Hag Power Struggle! Man Utd News,2022-03-29T18:56:24Z,64935,1738,167
TEN HAG UNITED's Favourite! Man Utd News,2022-03-29T14:16:27Z,138439,4355,465
ENRIQUE Job Offer? TEN HAG'S First TRANSER! Man Utd News,2022-03-29T09:44:23Z,110287,3585,514
POCH Stops TEN HAG Appointment! Man Utd News,2022-03-28T20:19:05Z,157506,4480,486
POCH United Meeting! TEN HAG Deal Close? FABRIZIO ROMANO Man Utd News,2022-03-28T14:12:26Z,147406,5224,271
ENRIQUE Manager Talks! KANE United's Priority Transfer! Man Utd News,2022-03-28T09:53:18Z,122057,3526,493
